time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 11:00:00-05:00,MLTrader,0d0042f8de6043938b684690e46f9f61,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:00:00-05:00,MLTrader,0d0042f8de6043938b684690e46f9f61,AAPL,buy,market,fill,1,gtc,0.0,1,stock,125.595,199.0,0.0
2023-01-03 13:40:00-05:00,MLTrader,5e0c9df4083449d4be9febf8b0c94f54,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 13:40:00-05:00,MLTrader,5e0c9df4083449d4be9febf8b0c94f54,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.53,151.0,0.0
2023-01-03 13:50:00-05:00,MLTrader,fcfbefe611c84ae39cb15486eeedad0e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 13:50:00-05:00,MLTrader,fcfbefe611c84ae39cb15486eeedad0e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.41,113.0,0.0
2023-01-03 14:00:00-05:00,MLTrader,60dc7ab432b24c75a022a63b0f96c65a,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:00:00-05:00,MLTrader,60dc7ab432b24c75a022a63b0f96c65a,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.82,84.0,0.0
2023-01-03 14:10:00-05:00,MLTrader,2ebec5ca7a304bcca6dbbb63225f6069,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:10:00-05:00,MLTrader,2ebec5ca7a304bcca6dbbb63225f6069,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.89,63.0,0.0
2023-01-03 14:20:00-05:00,MLTrader,d3982c236c774711b510c1625e1b2703,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:20:00-05:00,MLTrader,d3982c236c774711b510c1625e1b2703,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.52,48.0,0.0
2023-01-03 14:30:00-05:00,MLTrader,8dd4dd8ec60b4e318a22327dd46d33fb,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:30:00-05:00,MLTrader,8dd4dd8ec60b4e318a22327dd46d33fb,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.578,36.0,0.0
2023-01-03 14:50:00-05:00,MLTrader,ad32566d8a744af2a60fd8bada87f674,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:50:00-05:00,MLTrader,ad32566d8a744af2a60fd8bada87f674,AAPL,buy,market,fill,1,gtc,0.0,1,stock,125.165,27.0,0.0
2023-01-03 15:00:00-05:00,MLTrader,376cdd54cb2e4d3eab480fdf4f9edcc0,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 15:00:00-05:00,MLTrader,376cdd54cb2e4d3eab480fdf4f9edcc0,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.63,20.0,0.0
2023-01-03 15:10:00-05:00,MLTrader,2f78132d7ca648198160e234908d94f7,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 15:10:00-05:00,MLTrader,2f78132d7ca648198160e234908d94f7,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.45,15.0,0.0
2023-01-03 15:20:00-05:00,MLTrader,57c67763042b49f28f0152ec66567658,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 15:20:00-05:00,MLTrader,57c67763042b49f28f0152ec66567658,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.88,11.0,0.0
2023-01-03 15:40:00-05:00,MLTrader,3104046f9bbf4ccea14ae406c2931068,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 15:40:00-05:00,MLTrader,3104046f9bbf4ccea14ae406c2931068,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.895,8.0,0.0
2023-01-03 15:50:00-05:00,MLTrader,025d157a2f7f49359b9b018231a237d0,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 15:50:00-05:00,MLTrader,025d157a2f7f49359b9b018231a237d0,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.96,6.0,0.0
2023-01-04 09:30:00-05:00,MLTrader,dbdff0b23e2a495eac53f9eb0cf39633,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:30:00-05:00,MLTrader,dbdff0b23e2a495eac53f9eb0cf39633,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.89,5.0,0.0
2023-01-04 09:40:00-05:00,MLTrader,fa8d2e118f0a426b8fa41d5a85e0bfa0,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:40:00-05:00,MLTrader,fa8d2e118f0a426b8fa41d5a85e0bfa0,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.735,4.0,0.0
2023-01-04 09:50:00-05:00,MLTrader,1949fee4a9384875b8d730620c90daa4,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:50:00-05:00,MLTrader,1949fee4a9384875b8d730620c90daa4,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.325,3.0,0.0
2023-01-04 10:00:00-05:00,MLTrader,296838d922544126b3dfbf31e665998c,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 10:00:00-05:00,MLTrader,296838d922544126b3dfbf31e665998c,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.64,2.0,0.0
2023-01-04 10:50:00-05:00,MLTrader,7bfe44b7cd0142f691d73c285c202f97,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 10:50:00-05:00,MLTrader,7bfe44b7cd0142f691d73c285c202f97,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.95,1.0,0.0
2023-01-04 11:00:00-05:00,MLTrader,47bcfd5fe1a44c4d818fd5b12013456f,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 11:00:00-05:00,MLTrader,47bcfd5fe1a44c4d818fd5b12013456f,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.96,1.0,0.0
