time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 11:00:00-05:00,MLTrader,506ceada4cc74d468cf9e1e6d06f7325,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:00:00-05:00,MLTrader,056148ce798f4431b8b6609cbdb903ee,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:00:00-05:00,MLTrader,506ceada4cc74d468cf9e1e6d06f7325,SOXX,buy,market,fill,1,gtc,0.0,1,stock,115.8533,324.0,0.0
2023-01-03 11:00:00-05:00,MLTrader,056148ce798f4431b8b6609cbdb903ee,AAPL,buy,market,fill,1,gtc,0.0,1,stock,125.595,299.0,0.0
2023-01-03 11:10:00-05:00,MLTrader,8cc6e52553cb4f58a082f728adb4fde8,SOXX,sell,market,new,1,day,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,f9a4bce7ab764bb5bbca5c5fe2d6d8f7,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,8cc6e52553cb4f58a082f728adb4fde8,SOXX,sell,market,canceled,1,day,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,f9a4bce7ab764bb5bbca5c5fe2d6d8f7,AAPL,sell,market,canceled,1,day,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,55654978b22d491a9b100f0a4f042f8e,SOXX,sell,market,new,1,day,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,bb6d2f23bff348b0b187c933706268c6,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,55654978b22d491a9b100f0a4f042f8e,SOXX,sell,market,canceled,1,day,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,bb6d2f23bff348b0b187c933706268c6,AAPL,sell,market,canceled,1,day,0.0,1,stock,,,
