time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 11:00:00-05:00,MLTrader,ff9beff95c0a4141bbbf6beb853476b9,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:00:00-05:00,MLTrader,ff9beff95c0a4141bbbf6beb853476b9,AAPL,buy,market,fill,1,gtc,0.0,1,stock,125.595,199.0,0.0
2023-01-03 13:40:00-05:00,MLTrader,10257e104cd840b7a838d9d15921a5fb,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 13:40:00-05:00,MLTrader,10257e104cd840b7a838d9d15921a5fb,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.53,151.0,0.0
2023-01-03 13:50:00-05:00,MLTrader,ef04cf4fdf1d4326b13385864286d432,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 13:50:00-05:00,MLTrader,ef04cf4fdf1d4326b13385864286d432,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.41,113.0,0.0
2023-01-03 14:00:00-05:00,MLTrader,24858f5d91ad4b77b76e6e1a77926d08,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:00:00-05:00,MLTrader,24858f5d91ad4b77b76e6e1a77926d08,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.82,84.0,0.0
2023-01-03 14:10:00-05:00,MLTrader,a28a74d21e2f4769ac7c55d44fefacad,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:10:00-05:00,MLTrader,a28a74d21e2f4769ac7c55d44fefacad,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.89,63.0,0.0
2023-01-20 15:10:00-05:00,MLTrader,672ba0594d064bd088e3847d84e20bf8,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 15:10:00-05:00,MLTrader,672ba0594d064bd088e3847d84e20bf8,AAPL,sell,market,fill,1,gtc,0.0,1,stock,137.485,63.0,0.0
2023-01-20 15:20:00-05:00,MLTrader,9c2aa0b8824b46d8ab70e6bc7ac04d96,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 15:20:00-05:00,MLTrader,9c2aa0b8824b46d8ab70e6bc7ac04d96,AAPL,buy,market,fill,1,gtc,0.0,1,stock,137.765,59.0,0.0
2023-02-06 09:30:00-05:00,MLTrader,96215ee2f1e5421d91a4ca31e5d83b66,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-06 09:30:00-05:00,MLTrader,96215ee2f1e5421d91a4ca31e5d83b66,AAPL,sell,market,fill,1,gtc,0.0,1,stock,152.575,59.0,0.0
2023-02-06 10:10:00-05:00,MLTrader,4a23fa0c57e24775b6a161c599311774,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-06 10:10:00-05:00,MLTrader,4a23fa0c57e24775b6a161c599311774,AAPL,buy,market,fill,1,gtc,0.0,1,stock,152.58,55.0,0.0
2023-03-09 09:50:00-05:00,MLTrader,17e8f7d90d0a4b30a490228918677c65,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-09 09:50:00-05:00,MLTrader,17e8f7d90d0a4b30a490228918677c65,AAPL,sell,market,fill,1,gtc,0.0,1,stock,154.125,55.0,0.0
2023-03-09 10:00:00-05:00,MLTrader,51f20b06fdde454bb6cf52b38dfeb665,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-09 10:00:00-05:00,MLTrader,51f20b06fdde454bb6cf52b38dfeb665,AAPL,buy,market,fill,1,gtc,0.0,1,stock,154.295,54.0,0.0
2023-03-09 10:10:00-05:00,MLTrader,010455be413943bca5a88b7107489c0f,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-09 10:10:00-05:00,MLTrader,010455be413943bca5a88b7107489c0f,AAPL,buy,market,fill,1,gtc,0.0,1,stock,154.42,41.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,4f4375ff47ec4597bbfcd08ae4d03851,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,4f4375ff47ec4597bbfcd08ae4d03851,AAPL,sell,market,fill,1,gtc,0.0,1,stock,161.42,41.0,0.0
2023-04-10 10:50:00-04:00,MLTrader,13d25f3e9b1b46eab1cb5c1801789c3d,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 10:50:00-04:00,MLTrader,13d25f3e9b1b46eab1cb5c1801789c3d,AAPL,buy,market,fill,1,gtc,0.0,1,stock,160.815,39.0,0.0
2023-05-10 09:30:00-04:00,MLTrader,cbce2fb43a274599a03f079efd53945f,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-10 09:30:00-04:00,MLTrader,cbce2fb43a274599a03f079efd53945f,AAPL,sell,market,fill,1,gtc,0.0,1,stock,173.02,39.0,0.0
2023-05-10 09:40:00-04:00,MLTrader,2411406bd2ef47aca0f274b8b84cf3fb,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-10 09:40:00-04:00,MLTrader,2411406bd2ef47aca0f274b8b84cf3fb,AAPL,buy,market,fill,1,gtc,0.0,1,stock,173.41,37.0,0.0
