time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:50:00-05:00,MLTrader,62014aec08374d70ad153945cb47de59,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:50:00-05:00,MLTrader,62014aec08374d70ad153945cb47de59,SOXX,buy,market,fill,1,gtc,0.0,1,stock,116.4367,429.0,0.0
2023-01-03 10:00:00-05:00,MLTrader,8f1b0731cc374aeba77b0a208025f92f,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 10:00:00-05:00,MLTrader,8f1b0731cc374aeba77b0a208025f92f,NVDA,buy,market,fill,1,gtc,0.0,1,stock,145.45,172.0,0.0
2023-01-03 10:40:00-05:00,MLTrader,4b1154ace1bd4037a89f60baad0cc51e,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 10:40:00-05:00,MLTrader,4b1154ace1bd4037a89f60baad0cc51e,NVDA,sell,market,fill,1,gtc,0.0,1,stock,141.735,172.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,db399854a2f847e391f911fa507fa9fc,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,db399854a2f847e391f911fa507fa9fc,NVDA,sell,market,fill,1,gtc,0.0,1,stock,170.36,429.0,0.0
2023-01-19 09:40:00-05:00,MLTrader,4c280abd72d646efaa020fd0f5ab5017,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:40:00-05:00,MLTrader,4c280abd72d646efaa020fd0f5ab5017,NVDA,buy,market,fill,1,gtc,0.0,1,stock,171.42,357.0,0.0
2023-01-19 09:50:00-05:00,MLTrader,0c8b3b25cd7e4a00bbdfaa0340359c42,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:50:00-05:00,MLTrader,96b9ad370bf4473f842662836499bc69,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:50:00-05:00,MLTrader,0c8b3b25cd7e4a00bbdfaa0340359c42,SOXX,buy,market,fill,1,gtc,0.0,1,stock,125.5433,244.0,0.0
2023-01-19 09:50:00-05:00,MLTrader,96b9ad370bf4473f842662836499bc69,NVDA,buy,market,fill,1,gtc,0.0,1,stock,168.05,182.0,0.0
2023-01-25 15:10:00-05:00,MLTrader,9d87172490114573883ec1e7bdd6a3ca,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-25 15:10:00-05:00,MLTrader,9d87172490114573883ec1e7bdd6a3ca,NVDA,sell,market,fill,1,gtc,0.0,1,stock,193.47,182.0,0.0
2023-01-26 09:40:00-05:00,MLTrader,5f164d29680a4be89523727eb911e6fe,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:40:00-05:00,MLTrader,5f164d29680a4be89523727eb911e6fe,NVDA,sell,market,fill,1,gtc,0.0,1,stock,199.3,357.0,0.0
2023-01-26 09:50:00-05:00,MLTrader,58cfef01c4f348c68103cd18bc7abde8,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:50:00-05:00,MLTrader,58cfef01c4f348c68103cd18bc7abde8,SOXX,buy,market,fill,1,gtc,0.0,1,stock,134.96,394.0,0.0
2023-01-26 10:00:00-05:00,MLTrader,0b906e29182a4815bac738aed6239c3d,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 10:00:00-05:00,MLTrader,0b906e29182a4815bac738aed6239c3d,SOXX,buy,market,fill,1,gtc,0.0,1,stock,134.4633,198.0,0.0
2023-02-14 10:00:00-05:00,MLTrader,7a0065cec9a44c6dace2d866c1521426,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-14 10:00:00-05:00,MLTrader,7a0065cec9a44c6dace2d866c1521426,SOXX,sell,market,fill,1,gtc,0.0,1,stock,142.6933,198.0,0.0
