time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 11:10:00-05:00,MLTrader,ac15a42d3fe0483585ef8594e39e0c85,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,ac15a42d3fe0483585ef8594e39e0c85,SOXX,buy,market,fill,1,gtc,0.0,1,stock,115.1233,434.0,0.0
2023-01-03 12:30:00-05:00,MLTrader,1468c818a82546e3b95a564761474eed,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 12:30:00-05:00,MLTrader,7712422c298f40b28cffdc94b272f7b5,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 12:30:00-05:00,MLTrader,1468c818a82546e3b95a564761474eed,NVDA,buy,market,fill,1,gtc,0.0,1,stock,141.85,176.0,0.0
2023-01-03 12:30:00-05:00,MLTrader,7712422c298f40b28cffdc94b272f7b5,SOXX,buy,market,fill,1,gtc,0.0,1,stock,114.6767,218.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,b3a8951d19c241a2b6a7b509308c90bc,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,b3a8951d19c241a2b6a7b509308c90bc,SOXX,sell,market,fill,1,gtc,0.0,1,stock,127.0667,652.0,0.0
2023-01-19 10:20:00-05:00,MLTrader,4a184b74c0444a2580d44cc0e300d8d3,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 10:20:00-05:00,MLTrader,4a184b74c0444a2580d44cc0e300d8d3,NVDA,buy,market,fill,1,gtc,0.0,1,stock,171.0897,242.0,0.0
2023-01-26 09:30:00-05:00,MLTrader,d78fa222e23f4273a1c718b72f2c8b13,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:30:00-05:00,MLTrader,d78fa222e23f4273a1c718b72f2c8b13,NVDA,sell,market,fill,1,gtc,0.0,1,stock,197.01,242.0,0.0
2023-01-26 09:40:00-05:00,MLTrader,0a499c6da474412d89d6ec80b4b36054,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:40:00-05:00,MLTrader,0a499c6da474412d89d6ec80b4b36054,SOXX,buy,market,fill,1,gtc,0.0,1,stock,136.1733,327.0,0.0
2023-01-30 10:40:00-05:00,MLTrader,20ca778782224a3bb42daa7586f6d3b3,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-30 10:40:00-05:00,MLTrader,20ca778782224a3bb42daa7586f6d3b3,SOXX,sell,market,fill,1,gtc,0.0,1,stock,132.7467,327.0,0.0
2023-01-30 11:10:00-05:00,MLTrader,4c6a2b960e8d418c8873c809f1279da8,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-30 11:10:00-05:00,MLTrader,4c6a2b960e8d418c8873c809f1279da8,SOXX,buy,market,fill,1,gtc,0.0,1,stock,133.4133,330.0,0.0
2023-02-15 09:30:00-05:00,MLTrader,48ec9b219b5f4964bd47a86c04d2eb15,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-15 09:30:00-05:00,MLTrader,48ec9b219b5f4964bd47a86c04d2eb15,SOXX,sell,market,fill,1,gtc,0.0,1,stock,142.29,330.0,0.0
2023-02-15 10:40:00-05:00,MLTrader,3737ab261d664230afe479bd54e0a4d5,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-15 10:40:00-05:00,MLTrader,3737ab261d664230afe479bd54e0a4d5,SOXX,buy,market,fill,1,gtc,0.0,1,stock,142.4533,319.0,0.0
2023-02-17 09:50:00-05:00,MLTrader,24b9969b486142c6814340fbaf5028c7,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-17 09:50:00-05:00,MLTrader,24b9969b486142c6814340fbaf5028c7,SOXX,sell,market,fill,1,gtc,0.0,1,stock,138.7333,319.0,0.0
2023-02-17 10:40:00-05:00,MLTrader,7d2e62e6030b47a5a8f1f6025384c093,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-17 10:40:00-05:00,MLTrader,7d2e62e6030b47a5a8f1f6025384c093,SOXX,buy,market,fill,1,gtc,0.0,1,stock,139.2933,322.0,0.0
2023-02-21 12:00:00-05:00,MLTrader,6e4afded9a2044139692c50a21585af2,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-21 12:00:00-05:00,MLTrader,6e4afded9a2044139692c50a21585af2,SOXX,sell,market,fill,1,gtc,0.0,1,stock,135.4567,322.0,0.0
2023-02-21 12:50:00-05:00,MLTrader,cabd557d9e784d6fbb58ea36659bdec6,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-21 12:50:00-05:00,MLTrader,cabd557d9e784d6fbb58ea36659bdec6,SOXX,buy,market,fill,1,gtc,0.0,1,stock,135.7067,326.0,0.0
2023-03-21 09:30:00-04:00,MLTrader,347a68e5a0f54b43baed368acffb55fb,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-21 09:30:00-04:00,MLTrader,347a68e5a0f54b43baed368acffb55fb,SOXX,sell,market,fill,1,gtc,0.0,1,stock,144.48,326.0,0.0
2023-03-21 09:40:00-04:00,MLTrader,2975d1409ded42d38d149548e3d7359c,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-21 09:40:00-04:00,MLTrader,2975d1409ded42d38d149548e3d7359c,SOXX,buy,market,fill,1,gtc,0.0,1,stock,145.0567,315.0,0.0
