time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 11:00:00-05:00,MLTrader,338c8a8922764bada7cf96308f45ddbf,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:00:00-05:00,MLTrader,338c8a8922764bada7cf96308f45ddbf,SOXX,buy,market,fill,1,gtc,0.0,1,stock,115.8533,647.0,0.0
2023-01-03 11:10:00-05:00,MLTrader,dd3a916b5da24f9385c5f4027f6be7c7,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:10:00-05:00,MLTrader,dd3a916b5da24f9385c5f4027f6be7c7,SOXX,sell,market,fill,1,gtc,0.0,1,stock,115.1233,647.0,0.0
2023-01-03 11:20:00-05:00,MLTrader,7e20895a0beb4284a0ce1a7fa02204ce,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:20:00-05:00,MLTrader,7e20895a0beb4284a0ce1a7fa02204ce,SOXX,buy,market,fill,1,gtc,0.0,1,stock,114.9867,326.0,0.0
2023-01-03 11:50:00-05:00,MLTrader,a327ff2eefd4412bbec774ca439497db,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:50:00-05:00,MLTrader,a327ff2eefd4412bbec774ca439497db,SOXX,sell,market,fill,1,gtc,0.0,1,stock,114.5833,326.0,0.0
2023-01-03 12:30:00-05:00,MLTrader,e645c2309b874e8e9b6946deb7e15048,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 12:30:00-05:00,MLTrader,e645c2309b874e8e9b6946deb7e15048,SOXX,buy,market,fill,1,gtc,0.0,1,stock,114.6767,327.0,0.0
2023-01-03 12:40:00-05:00,MLTrader,e0eaa2b4ffb446eabcab58650135f5af,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 12:40:00-05:00,MLTrader,d424d75143ba4cae9e3e6e3e9fa26a19,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 12:40:00-05:00,MLTrader,e0eaa2b4ffb446eabcab58650135f5af,SOXX,buy,market,fill,1,gtc,0.0,1,stock,114.83,109.0,0.0
2023-01-03 12:40:00-05:00,MLTrader,d424d75143ba4cae9e3e6e3e9fa26a19,SOXX,sell,market,fill,1,gtc,0.0,1,stock,114.83,55.0,0.0
2023-01-03 12:50:00-05:00,MLTrader,8d08f2a18cff4d5881ad098dcf32d861,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 12:50:00-05:00,MLTrader,8d08f2a18cff4d5881ad098dcf32d861,SOXX,sell,market,fill,1,gtc,0.0,1,stock,114.4633,55.0,0.0
2023-01-03 13:30:00-05:00,MLTrader,966997757cdd4eefa8e6ae5d21066aed,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 13:30:00-05:00,MLTrader,966997757cdd4eefa8e6ae5d21066aed,SOXX,buy,market,fill,1,gtc,0.0,1,stock,115.0867,109.0,0.0
2023-01-03 13:40:00-05:00,MLTrader,848a2c816b2e4aa0931a67068f92dcbb,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 13:40:00-05:00,MLTrader,848a2c816b2e4aa0931a67068f92dcbb,SOXX,buy,market,fill,1,gtc,0.0,1,stock,114.8967,109.0,0.0
2023-01-03 13:50:00-05:00,MLTrader,6dbce58fb4f34585a7d99e30e95113ec,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 13:50:00-05:00,MLTrader,6dbce58fb4f34585a7d99e30e95113ec,SOXX,buy,market,fill,1,gtc,0.0,1,stock,114.9,27.0,0.0
2023-01-03 14:00:00-05:00,MLTrader,a981719d946f4cca863a64e5e29cc1d7,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:00:00-05:00,MLTrader,1a5477adc6824b46816611133e0a0a35,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:00:00-05:00,MLTrader,b6db6580b01247868b78336d7468459a,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:00:00-05:00,MLTrader,a981719d946f4cca863a64e5e29cc1d7,SOXX,buy,market,fill,1,gtc,0.0,1,stock,115.1133,27.0,0.0
2023-01-03 14:00:00-05:00,MLTrader,1a5477adc6824b46816611133e0a0a35,SOXX,sell,market,fill,1,gtc,0.0,1,stock,115.1133,4.0,0.0
2023-01-03 14:00:00-05:00,MLTrader,b6db6580b01247868b78336d7468459a,SOXX,sell,market,fill,1,gtc,0.0,1,stock,115.1133,27.0,0.0
2023-01-03 14:20:00-05:00,MLTrader,89e2465ac7d044e5a67b715415aae6d8,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:20:00-05:00,MLTrader,05ed9dba2f0f4adabb034a5152121381,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:20:00-05:00,MLTrader,89e2465ac7d044e5a67b715415aae6d8,SOXX,sell,market,fill,1,gtc,0.0,1,stock,114.6267,4.0,0.0
2023-01-03 14:20:00-05:00,MLTrader,05ed9dba2f0f4adabb034a5152121381,SOXX,sell,market,fill,1,gtc,0.0,1,stock,114.6267,27.0,0.0
2023-01-03 14:50:00-05:00,MLTrader,1106954aef144b979ef64fb4993498f5,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 14:50:00-05:00,MLTrader,1106954aef144b979ef64fb4993498f5,SOXX,buy,market,fill,1,gtc,0.0,1,stock,115.1767,109.0,0.0
2023-01-03 15:40:00-05:00,MLTrader,e412eed10f244b2d9379b2fac541d86f,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 15:40:00-05:00,MLTrader,e412eed10f244b2d9379b2fac541d86f,SOXX,sell,market,fill,1,gtc,0.0,1,stock,114.8867,109.0,0.0
2023-01-03 15:50:00-05:00,MLTrader,f6b04f980feb4a2989c2cdf1db072ab0,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 15:50:00-05:00,MLTrader,f6b04f980feb4a2989c2cdf1db072ab0,SOXX,buy,market,fill,1,gtc,0.0,1,stock,114.9333,109.0,0.0
2023-01-04 09:30:00-05:00,MLTrader,36767971b6d24893b3601c5bf2103a8b,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:30:00-05:00,MLTrader,36767971b6d24893b3601c5bf2103a8b,SOXX,sell,market,fill,1,gtc,0.0,1,stock,117.05,109.0,0.0
2023-01-04 09:40:00-05:00,MLTrader,f10c5a89b0274417a46e79582fcbfba7,SOXX,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:40:00-05:00,MLTrader,f10c5a89b0274417a46e79582fcbfba7,SOXX,buy,market,fill,1,gtc,0.0,1,stock,118.0167,106.0,0.0
2023-01-04 09:50:00-05:00,MLTrader,8345e88c9a7041af88b053873deb1ea4,SOXX,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:50:00-05:00,MLTrader,8345e88c9a7041af88b053873deb1ea4,SOXX,sell,market,fill,1,gtc,0.0,1,stock,117.4233,106.0,0.0
