time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 11:00:00-05:00,MLTrader,f324953a46584164bedf564ec82105c9,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 11:00:00-05:00,MLTrader,f324953a46584164bedf564ec82105c9,AAPL,buy,market,fill,1,gtc,0.0,1,stock,125.595,398.0,0.0
2023-01-03 13:50:00-05:00,MLTrader,69fd30971d654d1e91005bd4b8e32d4f,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 13:50:00-05:00,MLTrader,69fd30971d654d1e91005bd4b8e32d4f,AAPL,buy,market,fill,1,gtc,0.0,1,stock,124.41,201.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,793ec46d5ef64112928da622d447764a,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,793ec46d5ef64112928da622d447764a,AAPL,sell,market,fill,1,gtc,0.0,1,stock,134.08,599.0,0.0
2023-01-19 10:10:00-05:00,MLTrader,48526a8f9169401b88eb1450b391e937,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 10:10:00-05:00,MLTrader,48526a8f9169401b88eb1450b391e937,AAPL,buy,market,fill,1,gtc,0.0,1,stock,134.96,390.0,0.0
2023-01-19 11:20:00-05:00,MLTrader,91db674269ac4543a95da26f2b169dbe,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 11:20:00-05:00,MLTrader,91db674269ac4543a95da26f2b169dbe,AAPL,buy,market,fill,1,gtc,0.0,1,stock,134.83,195.0,0.0
2023-02-03 10:30:00-05:00,MLTrader,e98bcaa214ee40e680d460d718b9fe77,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 10:30:00-05:00,MLTrader,e98bcaa214ee40e680d460d718b9fe77,AAPL,sell,market,fill,1,gtc,0.0,1,stock,156.225,585.0,0.0
2023-02-03 11:00:00-05:00,MLTrader,596d2c01097443459f5a1677eb150de4,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 11:00:00-05:00,MLTrader,596d2c01097443459f5a1677eb150de4,AAPL,buy,market,fill,1,gtc,0.0,1,stock,155.79,378.0,0.0
2023-02-03 11:30:00-05:00,MLTrader,a5c56d4a38ee42b3a04a7a2d27cd7c1c,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 11:30:00-05:00,MLTrader,a5c56d4a38ee42b3a04a7a2d27cd7c1c,AAPL,buy,market,fill,1,gtc,0.0,1,stock,156.5,188.0,0.0
2023-03-06 12:10:00-05:00,MLTrader,a9faccf81516447c9b32ab35cc1a2ccf,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-06 12:10:00-05:00,MLTrader,a9faccf81516447c9b32ab35cc1a2ccf,AAPL,sell,market,fill,1,gtc,0.0,1,stock,156.03,378.0,0.0
2023-03-06 12:20:00-05:00,MLTrader,967a6d5e5b854e7ba9c74508aad6d172,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-06 12:20:00-05:00,MLTrader,967a6d5e5b854e7ba9c74508aad6d172,AAPL,buy,market,fill,1,gtc,0.0,1,stock,156.247,283.0,0.0
2023-03-20 11:30:00-04:00,MLTrader,728c7a05360d4fdaac127e0a355c03b5,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-20 11:30:00-04:00,MLTrader,728c7a05360d4fdaac127e0a355c03b5,AAPL,sell,market,fill,1,gtc,0.0,1,stock,156.83,188.0,0.0
2023-03-20 11:40:00-04:00,MLTrader,b3895136ca0048ef8e01a16b2d2c943f,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-20 11:40:00-04:00,MLTrader,b3895136ca0048ef8e01a16b2d2c943f,AAPL,buy,market,fill,1,gtc,0.0,1,stock,156.735,235.0,0.0
2023-04-03 09:40:00-04:00,MLTrader,006c7ea729914180870f41cfd88c100e,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-03 09:40:00-04:00,MLTrader,006c7ea729914180870f41cfd88c100e,AAPL,sell,market,fill,1,gtc,0.0,1,stock,165.7323,283.0,0.0
2023-04-03 10:00:00-04:00,MLTrader,199c21ed880a41c587a9f724ae2d5901,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-03 10:00:00-04:00,MLTrader,199c21ed880a41c587a9f724ae2d5901,AAPL,buy,market,fill,1,gtc,0.0,1,stock,165.315,253.0,0.0
2023-04-18 09:40:00-04:00,MLTrader,75afd641d0144ca18a510e07ceab55d4,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-18 09:40:00-04:00,MLTrader,75afd641d0144ca18a510e07ceab55d4,AAPL,sell,market,fill,1,gtc,0.0,1,stock,166.2272,235.0,0.0
2023-04-18 09:50:00-04:00,MLTrader,afefa94c73024c89b004bd90ff4f187a,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-18 09:50:00-04:00,MLTrader,afefa94c73024c89b004bd90ff4f187a,AAPL,buy,market,fill,1,gtc,0.0,1,stock,167.22,242.0,0.0
2023-05-03 09:30:00-04:00,MLTrader,8acf4164ffe044a3bae0219a4cd3c7bf,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-03 09:30:00-04:00,MLTrader,8acf4164ffe044a3bae0219a4cd3c7bf,AAPL,sell,market,fill,1,gtc,0.0,1,stock,169.5,253.0,0.0
2023-05-03 09:40:00-04:00,MLTrader,b6eb2f9ca2244872b10d83961d638b36,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-03 09:40:00-04:00,MLTrader,b6eb2f9ca2244872b10d83961d638b36,AAPL,buy,market,fill,1,gtc,0.0,1,stock,170.26,245.0,0.0
2023-05-18 09:30:00-04:00,MLTrader,65a6179093a34db8a3779deabb249c61,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-18 09:30:00-04:00,MLTrader,65a6179093a34db8a3779deabb249c61,AAPL,sell,market,fill,1,gtc,0.0,1,stock,173.0,242.0,0.0
2023-05-18 09:40:00-04:00,MLTrader,11a269c4881648c4b58a91fbb1b1a19e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-18 09:40:00-04:00,MLTrader,11a269c4881648c4b58a91fbb1b1a19e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,173.3001,241.0,0.0
